apple,eple,1
arm,arm,1
bed,seng,1
bird,fugl,1
book,bok,1
bread,brød,1
candle,stearinlys,1
circle,sirkel,1
cloud,sky,1
crown,krone,1
cup,kopp,1
door,dør,1
eye,øye,1
face,ansikt,1
feather,fjær,1
finger,finger,1
fish,fisk,1
flower,blomst,1
foot,fot,1
fork,gaffel,1
hand,hånd,1
hat,hatt,1
house,hus,1
ice cream,iskrem,1
leaf,blad,1
light bulb,lyspære,1
mouth,munn,1
pencil,blyant,1
pizza,pizza,1
sheep,sau,1
shoe,sko,1
shorts,shorts,1
smiley face,smilefjes,1
sock,sokk,1
spider,edderkopp,1
spoon,skje,1
sun,sol,1
table,bord,1
toothbrush,tannkost,1
tree,tre,1
hourglass,timeglass,2
cat,katt,2
chair,stol,2
ear,øre,2
lightning,lyn,2
mountain,fjell,2
scissors,saks,2
knife,kniv,2
key,nøkkel,2
clock,klokke,2
bridge,bro,2
diamond,diamant,2
guitar,gitar,2
axe,øks,2
television,tv,2
bicycle,sykkel,2
birthday cake,bursdagskake,2
soccer ball,fotball,2
ladder,stige,2
elephant,elefant,2
boomerang,bumerang,2
calculator,kalkulator,2
frying pan,stekepanne,2
bee,bie,2
camera,kamera,2
car,bil,2
sword,sverd,2
banana,banan,2
tennis racquet,tennisracket,2
broom,kost,2
crab,krabbe,2
whale,hval,2
screwdriver,skrutrekker,2
cactus,kaktus,2
hammer,hammer,2
suitcase,koffert,2
airplane,fly,2
lighthouse,fyrtårn,3
penguin,pingvin,3
sailboat,seilbåt,3
saxophone,saksofon,3
tractor,traktor,3
windmill,vindmølle,3
the eiffel tower,eiffeltårnet,3
mermaid,havfrue,3
drill,drill,3
angel,engel,3
bathtub,badekar,3
bus,buss,3
piano,piano,3
camel,kamel,3
castle,borg,3
crocodile,krokodille,3
wristwatch,armbåndsur,3
giraffe,sjiraff,3
octopus,blekksprut,3
police car,politibil,3
binoculars,kikkert,3
parrot,papegøye,3
dolphin,delfin,3
